30, c00_セクシー
01, c01_お嬢様(ダークネス対応キャラ)
01, c02_高飛車
20, c03_後輩キャラ
21, c04_ミステリアス
20, c05_電波
01, c06_大和撫子
29, c07_ボーイッシュ
08, c08_純粋無垢(ダークネス対応キャラ)
21, c09_単純
20, c10_邪気眼
30, c11_母性的
29, c12_姉御肌
21, c13_ギャル
29, c14_不良少女
29, c15_野性的
29, c16_意識高いクール
29, c17_ひねくれ
20, c18_不幸少女
08, c19_文学少女
20, c20_モジモジ(ダークネス対応キャラ)
21, c21_正統派ヒロイン(ダークネス対応キャラ)
01, c22_ミーハー
01, c23_オタク少女
01, c24_ヤンデレ
01, c25_ものぐさ
01, c26_無口
20, c27_意地っ張り
21, c28_のじゃっ子
29, c29_素直クール(ダークネス対応キャラ)
30, c30_気さく(ダークネス対応キャラ)
29, c31_勝ち気
01, c32_誠実
30, c33_艶やか
21, c34_帰国子女
21, c35_方言娘
29, c36_Sッ気
08, c37_無感情
01, c38_几帳面
